,number,linkall,titleall,keywall
182,[183],https://arxiv.org//abs/2104.00203,"
Title: AdaPool: A Diurnal-Adaptive Fleet Management Framework using Model-Free  Deep Reinforcement Learning and Change Point Detection
",Artificial Intelligence (cs.AI)
183,[184],https://arxiv.org//abs/2104.00202,"
Title: Unsupervised Person Re-identification via Simultaneous Clustering and  Consistency Learning
",Computer Vision and Pattern Recognition (cs.CV)
184,[185],https://arxiv.org//abs/2104.00201,"
Title: Graph-Based Intercategory and Intermodality Network for Multilabel  Classification and Melanoma Diagnosis of Skin Lesions in Dermoscopy and  Clinical Images
",Computer Vision and Pattern Recognition (cs.CV)
185,[186],https://arxiv.org//abs/2104.00199,"
Title: Data-Driven Optimized Tracking Control Heuristic for MIMO Structures: A  Balance System Case Study
",Systems and Control (eess.SY)
186,[187],https://arxiv.org//abs/2104.00198,"
Title: True Random Number Generation using Latency Variations of Commercial  MRAM Chips
",Emerging Technologies (cs.ET)
187,[188],https://arxiv.org//abs/2104.00196,"
Title: Modular Tree Network for Source Code Representation Learning
",Software Engineering (cs.SE)
188,[189],https://arxiv.org//abs/2104.00194,"
Title: Spatial-Temporal Graph Transformer for Multiple Object Tracking
",Computer Vision and Pattern Recognition (cs.CV)
189,[190],https://arxiv.org//abs/2104.00192,"
Title: An Energy-Efficient Quad-Camera Visual System for Autonomous Machines on  FPGA Platform
",Hardware Architecture (cs.AR)
190,[191],https://arxiv.org//abs/2104.00190,"
Title: Trajectory Tracking of Underactuated Sea Vessels With Uncertain  Dynamics: An Integral Reinforcement Learning Approach
",Systems and Control (eess.SY)
191,[192],https://arxiv.org//abs/2104.00186,"
Title: Sub-GMN: The Subgraph Matching Network Model
",Machine Learning (cs.LG)
192,[193],https://arxiv.org//abs/2104.00185,"
Title: Less is More: Accelerating Faster Neural Networks Straight from JPEG
",Computer Vision and Pattern Recognition (cs.CV)
193,[194],https://arxiv.org//abs/2104.00184,"
Title: Local $L^2$-bounded commuting projections in FEEC
",Numerical Analysis (math.NA)
194,[195],https://arxiv.org//abs/2104.00182,"
Title: Studying Ad Library Integration Strategies of Top Free-to-Download Apps
",Software Engineering (cs.SE)
195,[196],https://arxiv.org//abs/2104.00179,"
Title: Selective Feature Compression for Efficient Activity Recognition  Inference
",Computer Vision and Pattern Recognition (cs.CV)
196,[197],https://arxiv.org//abs/2104.00178,"
Title: Adaptive Configuration of In Situ Lossy Compression for Cosmology  Simulations via Fine-Grained Rate-Quality Modeling
","Distributed, Parallel, and Cluster Computing (cs.DC)"
197,[198],https://arxiv.org//abs/2104.00177,"
Title: Visual Attention in Imaginative Agents
",Computer Vision and Pattern Recognition (cs.CV)
198,[199],https://arxiv.org//abs/2104.00176,"
Title: Qualitative Planning in Imperfect Information Games with Active Sensing  and Reactive Sensor Attacks: Cost of Unawareness
",Cryptography and Security (cs.CR)
199,[200],https://arxiv.org//abs/2104.00174,"
Title: Self-harm: detection and support on Twitter
",Computation and Language (cs.CL)
200,[201],https://arxiv.org//abs/2104.00170,"
Title: An Investigation of Critical Issues in Bias Mitigation Techniques
",Machine Learning (cs.LG)
201,[202],https://arxiv.org//abs/2104.00169,"
Title: Improved and efficient inter-vehicle distance estimation using road  gradients of both ego and target vehicles
",Computer Vision and Pattern Recognition (cs.CV)
202,[203],https://arxiv.org//abs/2104.00166,"
Title: A Semidefinite Programming Approach to Discrete-time Infinite Horizon  Persistent Monitoring
",Systems and Control (eess.SY)
203,[204],https://arxiv.org//abs/2104.00165,"
Title: Gesture Similarity Analysis on Event Data Using a Hybrid Guided  Variational Auto Encoder
",Neural and Evolutionary Computing (cs.NE)
204,[205],https://arxiv.org//abs/2104.00164,"
Title: Analysis and modeling to forecast in time series: a systematic review
",Machine Learning (cs.LG)
205,[206],https://arxiv.org//abs/2104.00163,"
Title: DEALIO: Data-Efficient Adversarial Learning for Imitation from  Observation
",Machine Learning (cs.LG)
206,[207],https://arxiv.org//abs/2104.00161,"
Title: Scalable Visual Attribute Extraction through Hidden Layers of a Residual  ConvNet
",Computer Vision and Pattern Recognition (cs.CV)
207,[208],https://arxiv.org//abs/2104.00159,"
Title: Towards Prior-Free Approximately Truthful One-Shot Auction Learning via  Differential Privacy
",Computer Science and Game Theory (cs.GT)
208,[209],https://arxiv.org//abs/2104.00158,"
Title: Online Learning Probabilistic Event Calculus Theories in Answer Set  Programming
",Artificial Intelligence (cs.AI)
209,[210],https://arxiv.org//abs/2104.00152,"
Title: Full Surround Monodepth from Multiple Cameras
",Computer Vision and Pattern Recognition (cs.CV)
210,[211],https://arxiv.org//abs/2104.00148,"
Title: Showing Academic Performance Predictions during Term Planning: Effects  on Students' Decisions, Behaviors, and Preferences
",Human-Computer Interaction (cs.HC)
211,[212],https://arxiv.org//abs/2104.00142,"
Title: NodeSRT: A Selective Regression Testing Tool for Node.js Application
",Software Engineering (cs.SE)
212,[213],https://arxiv.org//abs/2104.00137,"
Title: Achieving Transparency Report Privacy in Linear Time
",Machine Learning (cs.LG)
213,[214],https://arxiv.org//abs/2104.00130,"
Title: Safe Online Learning-based Formation Control of Multi-Agent Systems with  Gaussian Processes
",Systems and Control (eess.SY)
214,[215],https://arxiv.org//abs/2104.00125,"
Title: Drowsiness Detection Based On Driver Temporal Behavior Using a New  Developed Dataset
",Computer Vision and Pattern Recognition (cs.CV)
215,[216],https://arxiv.org//abs/2104.00124,"
Title: Misinformation detection in Luganda-English code-mixed social media text
",Computation and Language (cs.CL)
216,[217],https://arxiv.org//abs/2104.00123,"
Title: Generalized Reinforcement Learning for Building Control using Behavioral  Cloning
",Systems and Control (eess.SY)
217,[218],https://arxiv.org//abs/2104.00118,"
Title: Analysis of injection operators in multigrid solvers for hybridized  discontinuous Galerkin methods
",Numerical Analysis (math.NA)
218,[219],https://arxiv.org//abs/2104.00107,"
Title: Analysis on Image Set Visual Question Answering
",Computer Vision and Pattern Recognition (cs.CV)
219,[220],https://arxiv.org//abs/2104.00106,"
Title: Zero-Shot Language Transfer vs Iterative Back Translation for  Unsupervised Machine Translation
",Computation and Language (cs.CL)
220,[221],https://arxiv.org//abs/2104.00104,"
Title: Vertex Connectivity in Poly-logarithmic Max-flows
",Data Structures and Algorithms (cs.DS)
221,[222],https://arxiv.org//abs/2104.00101,"
Title: High-order Barrier Functions: Robustness, Safety and  Performance-Critical Control
",Systems and Control (eess.SY)
222,[223],https://arxiv.org//abs/2104.00100,"
Title: MR Slice Profile Estimation by Learning to Match Internal Patch  Distributions
",Computer Vision and Pattern Recognition (cs.CV)
223,[224],https://arxiv.org//abs/2104.00099,"
Title: LIFT-SLAM: a deep-learning feature-based monocular visual SLAM method
",Computer Vision and Pattern Recognition (cs.CV)
224,[225],https://arxiv.org//abs/2104.00098,"
Title: Balancing Fairness and Efficiency in Traffic Routing via Interpolated  Traffic Assignment
",Systems and Control (eess.SY)
225,[226],https://arxiv.org//abs/2104.00096,"
Title: Taking Stock of the Present and Future of Smart Technologies for Older  Adults and Caregivers
",Computers and Society (cs.CY)
226,[227],https://arxiv.org//abs/2104.00093,"
Title: Imagine All the People: Citizen Science, Artificial Intelligence, and  Computational Research
",Computers and Society (cs.CY)
227,[228],https://arxiv.org//abs/2104.00090,"
Title: THU-Splines: Highly Localized Refinement on Smooth Unstructured Splines
",Numerical Analysis (math.NA)
228,[229],https://arxiv.org//abs/2104.00088,"
Title: Transfer Learning for Node Regression Applied to Spreading Prediction
",Social and Information Networks (cs.SI)
229,[230],https://arxiv.org//abs/2104.00087,"
Title: Real-time Data Infrastructure at Uber
","Distributed, Parallel, and Cluster Computing (cs.DC)"
230,[231],https://arxiv.org//abs/2104.00086,"
Title: An Online Survey on the Perception of Mediated Social Touch Interaction  and Device Design
",Human-Computer Interaction (cs.HC)
231,[232],https://arxiv.org//abs/2104.00085,"
Title: A comparative evaluation of learned feature descriptors on hybrid  monocular visual SLAM methods
",Computer Vision and Pattern Recognition (cs.CV)
232,[233],https://arxiv.org//abs/2104.00084,"
Title: Hierarchical Road Topology Learning for Urban Map-less Driving
",Robotics (cs.RO)
233,[234],https://arxiv.org//abs/2104.00078,"
Title: Learning Human Objectives from Sequences of Physical Corrections
",Robotics (cs.RO)
234,[235],https://arxiv.org//abs/2104.00077,"
Title: Planning for Safe Abortable Overtaking Maneuvers in Autonomous Driving
",Robotics (cs.RO)
235,[236],https://arxiv.org//abs/2104.00075,"
Title: Ultra-Reliable Indoor Millimeter Wave Communications using Multiple  Artificial Intelligence-Powered Intelligent Surfaces
",Networking and Internet Architecture (cs.NI)
236,[237],https://arxiv.org//abs/2104.00073,"
Title: FAPIS: A Few-shot Anchor-free Part-based Instance Segmenter
",Computer Vision and Pattern Recognition (cs.CV)
237,[238],https://arxiv.org//abs/2104.00065,"
Title: Force-and-moment-based Model Predictive Control for Achieving Highly  Dynamic Locomotion on Bipedal Robots
",Robotics (cs.RO)
238,[239],https://arxiv.org//abs/2104.00060,"
Title: Generalized Conflict-directed Search for Optimal Ordering Problems
",Artificial Intelligence (cs.AI)
239,[240],https://arxiv.org//abs/2104.00059,"
Title: Passive Inter-Photon Imaging
",Computer Vision and Pattern Recognition (cs.CV)
240,[241],https://arxiv.org//abs/2104.00058,"
Title: Investigating Design Anti-pattern and Design Pattern Mutations and Their  Change- and Fault-proneness
",Software Engineering (cs.SE)
241,[242],https://arxiv.org//abs/2104.00055,"
Title: SST-GNN: Simplified Spatio-temporal Traffic forecasting model using  Graph Neural Network
",Machine Learning (cs.LG)
242,[243],https://arxiv.org//abs/2104.00054,"
Title: A Statistical Analysis of Summarization Evaluation Metrics using  Resampling Methods
",Computation and Language (cs.CL)
243,[244],https://arxiv.org//abs/2104.00053,"
Title: LazyDAgger: Reducing Context Switching in Interactive Imitation Learning
",Robotics (cs.RO)
244,[245],https://arxiv.org//abs/2104.00048,"
Title: SkiffOS: Minimal Cross-compiled Linux for Embedded Containers
",Software Engineering (cs.SE)
245,[246],https://arxiv.org//abs/2104.00041,"
Title: Domain-specific MT for Low-resource Languages: The case of  Bambara-French
",Computation and Language (cs.CL)
246,[247],https://arxiv.org//abs/2104.00038,"
Title: Smartphone Camera Oximetry in an Induced Hypoxemia Study
",Machine Learning (cs.LG)
247,[248],https://arxiv.org//abs/2104.00035,"
Title: Strengthening the Training of Convolutional Neural Networks By Using  Walsh Matrix
",Machine Learning (cs.LG)
248,[249],https://arxiv.org//abs/2104.00034,"
Title: Approximation Schemes for Multiperiod Binary Knapsack Problems
",Data Structures and Algorithms (cs.DS)
249,[250],https://arxiv.org//abs/2104.00032,"
Title: Convolutional Dynamic Alignment Networks for Interpretable  Classifications
",Machine Learning (cs.LG)
250,[251],https://arxiv.org//abs/2104.00031,"
Title: NetAdaptV2: Efficient Neural Architecture Search with Fast Super-Network  Training and Architecture Optimization
",Computer Vision and Pattern Recognition (cs.CV)
251,[252],https://arxiv.org//abs/2104.00029,"
Title: Models and numbers: Representing the world or imposing order?
",Computers and Society (cs.CY)
252,[253],https://arxiv.org//abs/2104.00024,"
Title: RetrievalFuse: Neural 3D Scene Reconstruction with a Database
",Computer Vision and Pattern Recognition (cs.CV)
253,[254],https://arxiv.org//abs/2104.00008,"
Title: Why is AI hard and Physics simple?
",Machine Learning (cs.LG)
254,[255],https://arxiv.org//abs/2104.00669,"
Title: Deep Multi-Resolution Dictionary Learning for Histopathology Image  Analysis
",Image and Video Processing (eess.IV)
255,[256],https://arxiv.org//abs/2104.00641,"
Title: Dynamic Silos: Modularity in intra-organizational communication networks  before and during the Covid-19 pandemic
",Machine Learning (stat.ML)
256,[257],https://arxiv.org//abs/2104.00636,"
Title: Distributed Video Adaptive Block Compressive Sensing
",Image and Video Processing (eess.IV)
257,[258],https://arxiv.org//abs/2104.00635,"
Title: Holdout-Based Fidelity and Privacy Assessment of Mixed-Type Synthetic  Data
",Machine Learning (stat.ML)
258,[259],https://arxiv.org//abs/2104.00629,"
Title: Regularized target encoding outperforms traditional methods in  supervised machine learning with high cardinality features
",Machine Learning (stat.ML)
259,[260],https://arxiv.org//abs/2104.00624,"
Title: Fast DCTTS: Efficient Deep Convolutional Text-to-Speech
",Audio and Speech Processing (eess.AS)
260,[261],https://arxiv.org//abs/2104.00620,"
Title: TradeR: Practical Deep Hierarchical Reinforcement Learning for Trade  Execution
",Trading and Market Microstructure (q-fin.TR)
261,[262],https://arxiv.org//abs/2104.00615,"
Title: Physics-informed neural networks for the shallow-water equations on the  sphere
",Computational Physics (physics.comp-ph)
262,[263],https://arxiv.org//abs/2104.00607,"
Title: Detecting Hidden Units and Network Size from Perceptible Dynamics
",Adaptation and Self-Organizing Systems (nlin.AO)
263,[264],https://arxiv.org//abs/2104.00587,"
Title: NeRF-VAE: A Geometry Aware 3D Scene Generative Model
",Machine Learning (stat.ML)
264,[265],https://arxiv.org//abs/2104.00584,"
Title: Model Selection for Time Series Forecasting: Empirical Analysis of  Different Estimators
",Machine Learning (stat.ML)
265,[266],https://arxiv.org//abs/2104.00550,"
Title: Agent-based simulations for optimized prevention of the spread of  SARS-CoV-2 in nursing homes
",Physics and Society (physics.soc-ph)
266,[267],https://arxiv.org//abs/2104.00537,"
Title: State-of-the-art SPH solver DualSPHysics: from fluid dynamics to  multiphysics problems
",Fluid Dynamics (physics.flu-dyn)
267,[268],https://arxiv.org//abs/2104.00535,"
Title: Data-Driven Optimization for Police Zone Design
",Optimization and Control (math.OC)
268,[269],https://arxiv.org//abs/2104.00531,"
Title: Extending Neural P-frame Codecs for B-frame Coding
",Image and Video Processing (eess.IV)
269,[270],https://arxiv.org//abs/2104.00520,"
Title: DIVERSE: bayesian Data IntegratiVE learning for precise drug ResponSE  prediction
",Quantitative Methods (q-bio.QM)
270,[271],https://arxiv.org//abs/2104.00507,"
Title: fairmodels: A Flexible Tool For Bias Detection, Visualization, And  Mitigation
",Machine Learning (stat.ML)
271,[272],https://arxiv.org//abs/2104.00502,"
Title: A note on Barker sequences of even length
",Combinatorics (math.CO)
272,[273],https://arxiv.org//abs/2104.00496,"
Title: Machine Learning Applications to Kronian Magnetospheric Reconnection  Classification
",Earth and Planetary Astrophysics (astro-ph.EP)
273,[274],https://arxiv.org//abs/2104.00428,"
Title: Storchastic: A Framework for General Stochastic Automatic  Differentiation
",Machine Learning (stat.ML)
274,[275],https://arxiv.org//abs/2104.00411,"
Title: Explaining COVID-19 and Thoracic Pathology Model Predictions by  Identifying Informative Input Features
",Image and Video Processing (eess.IV)
275,[276],https://arxiv.org//abs/2104.00383,"
Title: Schrödinger encounters Fisher and Rao: a survey
",Statistics Theory (math.ST)
276,[277],https://arxiv.org//abs/2104.00353,"
Title: CycleDRUMS: Automatic Drum Arrangement For Bass Lines Using CycleGAN
",Audio and Speech Processing (eess.AS)
277,[278],https://arxiv.org//abs/2104.00341,"
Title: SpectralNET: Exploring Spatial-Spectral WaveletCNN for Hyperspectral  Image Classification
",Image and Video Processing (eess.IV)
278,[279],https://arxiv.org//abs/2104.00325,"
Title: High-quality Low-dose CT Reconstruction Using Convolutional Neural  Networks with Spatial and Channel Squeeze and Excitation
",Image and Video Processing (eess.IV)
279,[280],https://arxiv.org//abs/2104.00311,"
Title: Using multidimensional speckle dynamics for high-speed, large-scale,  parallel photonic computing
",Optics (physics.optics)
280,[281],https://arxiv.org//abs/2104.00301,"
Title: Edge-promoting adaptive Bayesian experimental design for X-ray imaging
",Methodology (stat.ME)
281,[282],https://arxiv.org//abs/2104.00282,"
Title: Allocation of Fungible Resources via a Fast, Scalable Price Discovery  Method
",Optimization and Control (math.OC)
282,[283],https://arxiv.org//abs/2104.00274,"
Title: Nonlinear optimized Schwarz preconditioner for elliptic optimal control  problems
",Optimization and Control (math.OC)
283,[284],https://arxiv.org//abs/2104.00259,"
Title: Interactive spatial speech recognition maps based on simulated speech  recognition experiments
",Audio and Speech Processing (eess.AS)
284,[285],https://arxiv.org//abs/2104.00253,"
Title: Learning Deep Latent Subspaces for Image Denoising
",Image and Video Processing (eess.IV)
285,[286],https://arxiv.org//abs/2104.00245,"
Title: High-Dimensional Differentially-Private EM Algorithm: Methods and  Near-Optimal Statistical Guarantees
",Machine Learning (stat.ML)
286,[287],https://arxiv.org//abs/2104.00139,"
Title: State-of-the-art segmentation network fooled to segment a heart symbol  in chest X-Ray images
",Image and Video Processing (eess.IV)
287,[288],https://arxiv.org//abs/2104.00138,"
Title: Rapid quantification of COVID-19 pneumonia burden from computed  tomography with convolutional LSTM networks
",Image and Video Processing (eess.IV)
288,[289],https://arxiv.org//abs/2104.00131,"
Title: Distributed Picard Iteration
",Optimization and Control (math.OC)
289,[290],https://arxiv.org//abs/2104.00120,"
Title: Multi-Encoder Learning and Stream Fusion for Transformer-Based  End-to-End Automatic Speech Recognition
",Audio and Speech Processing (eess.AS)
290,[291],https://arxiv.org//abs/2104.00102,"
Title: Robust Experimentation in the Continuous Time Bandit Problem
",Theoretical Economics (econ.TH)
291,[292],https://arxiv.org//abs/2104.00095,"
Title: Eulerian simulation of complex suspensions and biolocomotion in three  dimensions
",Fluid Dynamics (physics.flu-dyn)
292,[293],https://arxiv.org//abs/2104.00089,"
Title: Maintaining scientific discourse during a global pandemic: ESO's first  e-conference #H02020
",Instrumentation and Methods for Astrophysics (astro-ph.IM)
293,[294],https://arxiv.org//abs/2104.00062,"
Title: Structured input-output analysis of transitional wall-bounded flows
",Fluid Dynamics (physics.flu-dyn)
294,[295],https://arxiv.org//abs/2103.17171,"
Title: Training robust deep learning models for medical imaging tasks with  spectral decoupling
",Image and Video Processing (eess.IV)
295,[296],https://arxiv.org//abs/2103.04629,"
Title: Jordan-Wigner transformation and qubits with nontrivial exchange rule
",Quantum Physics (quant-ph)
